Product,Description,Quantity,Customizable
MSI MPG B850I Edge Ti WiFi AM5 Mini-ITX,Mother Board ,4,"Yes, you can use other AM5 MotherBoards as well "
AMD RYZEN 9 9950X AM5 DESKTOP PROCESSOR (100-100001277WOF),CPU ,4,"Yes, Any AM5 CPU should do"
128GB (64GBX2) DDR5 6400MHZ UDIMM DESKTOP RAM,RAM ,4,Yes
512GB SATA III INTERNAL SSD,Boot Disk,4,Yes
500GB M.2 NVME INTERNAL SSD,Memory Tier,4,Yes
2TB M.2 NVME INTERNAL SSD,vSAN,4,Yes
400 Watt ATX Power ,Power,4,Yes
Noctua NH-L9a-AM5 92mm,CPU Cooler,4,Yes
Intel 10G Nic x710-DA2 SFP+,10g Nic SPF+,4,"Yes, any Supprted 10G 10g Nic with SPF+ or RJ45 Should do"
TP-Link TL-SM5310-T | 10GBase-T RJ45 SFP+ Module,SPF+ to RJ 45,2,"Yes, Buy based on Switch selection"
TP-Link TL-SX3016F | 16 Port 10G SFP+,10G Switch ,1,"Yes, any 10G swith with VLAN Support should do"
SPF+ cable,SPF+ cable,8,"Yes, Buy based on Switch selection"
LB12B2-P10F-LANBOO-12mm Economy Push Button Switch,Power & Reset switch,8,No
LB12B2-D1-LANBOO-12mm Economy Push Button Switch Connector,Power & Reset switch Wires,8,No
PCT-223-3 Stationary Type Quick Connection Terminal,PCT wire connectors,4,No
"LT-633(SPL-63) Stationary, Type Quick Connection, Terminal",PCT wire connectors,2,No
"LT-933(SPL-93) Stationary Type Quick Connection Terminal",PCT wire connectors,1,No
IEC C14 Power Inlet Socket with Wires Pre Soldered (Without Fuse),AC Power Inlet,1,No
