Part Name,Material,Quantity,Comments
3d-2025-11-ABS-PLUS-001a,ABS Plastic,1,Find the STL under STL/ABS directroy 
3d-2025-11-ABS-PLUS-001b,ABS Plastic,1,Find the STL under STL/ABS directroy 
3d-2025-11-ABS-PLUS-002a,ABS Plastic,2,Find the STL under STL/ABS directroy 
3d-2025-11-ABS-PLUS-002b,ABS Plastic,2,Find the STL under STL/ABS directroy 
3d-2025-11-ABS-PLUS-003a,ABS Plastic,1,Find the STL under STL/ABS directroy 
3d-2025-11-ABS-PLUS-003b,ABS Plastic,1,Find the STL under STL/ABS directroy 
3d-2025-11-PLA-001,PLA,4,Find the STL under STL/PLA_PETG directroy 
3d-2025-11-PLA-002,PLA,2,Find the STL under STL/PLA_PETG directroy 
3d-2025-11-PLA-003,PLA,2,Find the STL under STL/PLA_PETG directroy 
3d-2025-11-PLA-005,PLA,1,Find the STL under STL/PLA_PETG directroy 
3d-2025-11-PLA-006,PLA,2,Find the STL under STL/PLA_PETG directroy 
3d-2025-11-PLA-007,PLA,2,Find the STL under STL/PLA_PETG directroy 
3d-2025-11-PLA-008,PLA,1,Find the STL under STL/PLA_PETG directroy 
3d-2025-11-PLA-009,PLA,6,Find the STL under STL/PLA_PETG directroy 
3d-2025-11-PLA-010,PLA,4,Find the STL under STL/PLA_PETG directroy 
3d-2025-11-PLA-011,PLA,2,Find the STL under STL/PLA_PETG directroy 
Extrution-198mm,Aluminum,4,Buy from Amazon or anyother store of choice 
Extrution-273mm,Aluminum,4,Buy from Amazon or anyother store of choice 
Extrution-338mm,Aluminum,6,Buy from Amazon or anyother store of choice 
L-Clamp,Aluminum,20,Buy from Amazon or anyother store of choice 
